"year","month","tmean"
"2007","Oct","25.2707633972168"
"2007","Nov","21.4008312225342"
"2007","Dec","16.3040008544922"
"2008","Jan","9.88465404510498"
"2008","Feb","4.86700439453125"
"2008","Mar","4.67596960067749"
"2008","Apr","5.94437742233276"
"2008","May","10.1975717544556"
"2008","Jun","15.640552520752"
"2008","Jul","21.2105293273926"
"2008","Aug","25.1822128295898"
"2008","Sep","26.8631839752197"
"2008","Oct","24.631763458252"
"2008","Nov","21.6172790527344"
"2008","Dec","15.929048538208"
"2009","Jan","8.77963161468506"
"2009","Feb","3.23728084564209"
"2009","Mar","2.02801036834717"
"2009","Apr","3.51110625267029"
"2009","May","7.24819040298462"
"2009","Jun","14.5452060699463"
"2009","Jul","20.6874294281006"
"2009","Aug","25.3192138671875"
"2009","Sep","27.4259433746338"
"2009","Oct","24.9902400970459"
"2009","Nov","21.0391712188721"
"2009","Dec","16.0749530792236"
"2010","Jan","9.65069007873535"
"2010","Feb","3.53723502159119"
"2010","Mar","1.90321457386017"
"2010","Apr","4.22829484939575"
"2010","May","9.19138145446777"
"2010","Jun","15.062762260437"
"2010","Jul","20.0171432495117"
"2010","Aug","23.8870029449463"
"2010","Sep","26.6189842224121"
"2010","Oct","24.7882423400879"
"2010","Nov","20.6270008087158"
"2010","Dec","16.6615238189697"
"2011","Jan","10.5050230026245"
"2011","Feb","5.41078329086304"
"2011","Mar","3.33724069595337"
"2011","Apr","4.24350166320801"
"2011","May","8.53800010681152"
"2011","Jun","15.5019807815552"
"2011","Jul","21.567813873291"
"2011","Aug","24.9508266448975"
"2011","Sep","26.8763580322266"
"2011","Oct","24.9463348388672"
"2011","Nov","21.0326690673828"
"2011","Dec","15.085431098938"
"2012","Jan","8.50165843963623"
"2012","Feb","3.05553007125854"
"2012","Mar","3.07336711883545"
"2012","Apr","5.04981422424316"
"2012","May","8.31152439117432"
"2012","Jun","15.0073709487915"
"2012","Jul","20.5098609924316"
"2012","Aug","25.9663124084473"
"2012","Sep","28.2328567504883"
"2012","Oct","25.4329071044922"
"2012","Nov","21.051383972168"
"2012","Dec","15.8329992294312"
"2013","Jan","9.82359409332275"
"2013","Feb","4.9860372543335"
"2013","Mar","3.95214295387268"
"2013","Apr","6.26059818267822"
"2013","May","11.3264770507812"
"2013","Jun","15.7337312698364"
"2013","Jul","20.1312389373779"
"2013","Aug","24.3000907897949"
"2013","Sep","26.8487529754639"
"2013","Oct","24.8424301147461"
"2013","Nov","20.7177429199219"
"2013","Dec","16.1774291992188"
"2014","Jan","10.1341018676758"
"2014","Feb","5.04723453521729"
"2014","Mar","4.06714344024658"
"2014","Apr","6.38534498214722"
"2014","May","9.91957187652588"
"2014","Jun","15.298755645752"
"2014","Jul","20.7660484313965"
"2014","Aug","24.3508739471436"
"2014","Sep","27.4789352416992"
"2014","Oct","25.1455230712891"
"2014","Nov","21.4122581481934"
"2014","Dec","16.4802379608154"
"2015","Jan","10.2904148101807"
"2015","Feb","5.81912469863892"
"2015","Mar","3.5878324508667"
"2015","Apr","5.5082950592041"
"2015","May","9.62904644012451"
"2015","Jun","15.044882774353"
"2015","Jul","19.9836673736572"
"2015","Aug","24.5186614990234"
"2015","Sep","28.9887561798096"
"2015","Oct","25.7338600158691"
"2015","Nov","21.9087104797363"
"2015","Dec","15.8348093032837"
