SITE_ID,DATE,SP_CODE,VALUE
IVEE_2,2004,EC,1.65
IVEE_2,2004,EGME,0
IVEE_2,2004,ER,0
IVEE_2,2004,FB,0
IVEE_2,2004,FG,0
IVEE_2,2004,FR,0
IVEE_2,2004,FTHR,0
IVEE_2,2004,GR,0
IVEE_2,2004,GS,2.8125
IVEE_2,2004,GYSP,0
IVEE_2,2004,HAGL,0
IVEE_2,2004,IR,0
IVEE_2,2004,LAFA,0
IVEE_2,2004,LI,0
IVEE_2,2004,LS,0
IVEE_2,2004,LX,0
IVEE_2,2004,NANDERSON,0
IVEE_2,2004,NEO,0
IVEE_2,2004,PHSE,0
IVEE_2,2004,PL,0
IVEE_2,2004,POLA,0
IVEE_2,2004,PRSP,0
IVEE_2,2004,PTCA,16.178
IVEE_2,2004,R,39.65
IVEE_2,2004,RAT,1.675
IVEE_2,2004,SAFU,0
IVEE_2,2004,SAHO,0
IVEE_2,2004,SAMU,0
IVEE_2,2004,SCCA,0
IVEE_2,2004,STIN,0
IVEE_2,2004,TALE,0
IVEE_2,2004,UV,0
ABUR_1,2004,AMZO,0
ABUR_1,2004,AU,0
ABUR_1,2004,BF,0
ABUR_1,2004,BO,0
ABUR_1,2004,BR,0
ABUR_1,2004,BRA,0
ABUR_1,2004,CAL,0
ABUR_1,2004,CC,0
ABUR_1,2004,CF,0
ABUR_1,2004,CG,0
ABUR_1,2004,CO,0
ABUR_1,2004,COF,0
ABUR_1,2004,CP,0
ABUR_1,2004,CRYP,0
ABUR_1,2004,CYOS,2.1175
ABUR_1,2004,CZ,0
ABUR_1,2004,DL,0
ABUR_1,2004,DP,0
ABUR_1,2004,DU,0
ABUR_1,2004,EA,0
ABUR_1,2004,EC,0.4125
ABUR_1,2004,EGME,0
ABUR_1,2004,ER,0
ABUR_1,2004,FB,0
ABUR_1,2004,FG,0
ABUR_1,2004,FR,0
ABUR_1,2004,FTHR,0
ABUR_1,2004,GR,11.25
ABUR_1,2004,GS,16.875
ABUR_1,2004,GYSP,0
ABUR_1,2004,HAGL,0
ABUR_1,2004,IR,0
ABUR_1,2004,LAFA,0.28
ABUR_1,2004,LI,0
ABUR_1,2004,LS,0
ABUR_1,2004,LX,0
ABUR_1,2004,NANDERSON,0
ABUR_1,2004,NEO,0
ABUR_1,2004,PHSE,0
ABUR_1,2004,PL,0
ABUR_1,2004,POLA,0
ABUR_1,2004,PRSP,0
ABUR_1,2004,PTCA,129.40025
ABUR_1,2004,R,6.1
ABUR_1,2004,RAT,0
ABUR_1,2004,SAFU,0
ABUR_1,2004,SAHO,0
ABUR_1,2004,SAMU,0
ABUR_1,2004,SCCA,0
ABUR_1,2004,STIN,0
ABUR_1,2004,TALE,0
ABUR_1,2004,UV,0
ABUR_2,2004,AMZO,0
ABUR_2,2004,AU,0
ABUR_2,2004,BF,0
ABUR_2,2004,BO,0
ABUR_2,2004,BR,0
ABUR_2,2004,BRA,0
ABUR_2,2004,CAL,0
ABUR_2,2004,CC,0
ABUR_2,2004,CF,0
ABUR_2,2004,CG,0
ABUR_2,2004,CO,0
ABUR_2,2004,COF,0
ABUR_2,2004,CP,0
ABUR_2,2004,CRYP,0
ABUR_2,2004,CYOS,0
ABUR_2,2004,CZ,0
ABUR_2,2004,DL,0
ABUR_2,2004,DP,0
ABUR_2,2004,DU,0
ABUR_2,2004,EA,0
ABUR_2,2004,EC,0
ABUR_2,2004,EGME,1.59925
ABUR_2,2004,ER,0
ABUR_2,2004,FB,0
ABUR_2,2004,FG,0
ABUR_2,2004,FR,0
ABUR_2,2004,FTHR,0
ABUR_2,2004,GR,0
ABUR_2,2004,GS,0
ABUR_2,2004,GYSP,0
ABUR_2,2004,HAGL,0
ABUR_2,2004,IR,0
ABUR_2,2004,LAFA,0
ABUR_2,2004,LI,0
ABUR_2,2004,LS,0
ABUR_2,2004,LX,0
ABUR_2,2004,NANDERSON,0
ABUR_2,2004,NEO,0
ABUR_2,2004,PHSE,0
ABUR_2,2004,PL,0
ABUR_2,2004,POLA,0
ABUR_2,2004,PRSP,0
ABUR_2,2004,PTCA,19.98875
ABUR_2,2004,R,0
ABUR_2,2004,RAT,0
ABUR_2,2004,SAFU,0
ABUR_2,2004,SAHO,0
ABUR_2,2004,SAMU,0
ABUR_2,2004,SCCA,0
ABUR_2,2004,STIN,0
ABUR_2,2004,TALE,2.7
ABUR_2,2004,UV,0
MOHK_1,2004,AMZO,0
MOHK_1,2004,AU,0
MOHK_1,2004,BF,0
MOHK_1,2004,BO,2.525
