"site","subsite","lat","lon","radius","chla_temporal_sd","lst_temporal_sd","ndvi_temporal_sd","sst_temporal_sd","bathymetry_spatial_sd_slope_60km","elevation_spatial_sd_slope_60km"
"NTL","trout_bog",46.041,-89.686,1,NA,1.51416198900033,4.322701488214,NA,0.304103929605555,0.308759653770593
"NTL","trout_lake",46.029,-89.665,1,NA,1.55839704534407,9.49985471043543,NA,0.349727210324911,0.371276155105861
"NTL",NA,43.1005984166008,-89.4,1,NA,1.88779400263733,33.9629014222107,NA,0.400803715539999,0.396710537958675
"NTL",NA,46.0015944691635,-89.6,1,NA,1.88779400263733,33.9629014222107,NA,0.400803715539999,0.396710537958675
"NWT",NA,40.0479979650126,-105.569243774741,1,NA,1.31563120465112,1.82275301961921,NA,8.88135605116948,8.73745283596404
"PAL",NA,-65.5429113836646,-67.6929842653985,1,0.473173800198782,NA,NA,0.837219545384362,2.26297947261222,NA
"PIE",NA,42.6609181667391,-70.965911506432,1,NA,1.01315450487621,1.05169527863107,NA,1.13347340379511,0.550171726392113
"SBC","ABUR",34.400275,-119.7445915,1,3.6931477949097,1.05722870978782,3.02268453701676,1.15520867099473,10.6845963560084,8.74633582410177
"SBC","AHND",34.471817,-120.1426165,1,1.62947125759084,1.52125157766366,6.01111547671127,2.36013885297016,6.54293012192303,5.00444557389948
"SBC","AQUE",34.46774988,-120.11905,1,0.926013472792137,1.36150122886696,5.76683121856243,2.4603824366496,7.01463689111652,5.18496624712674
"SBC","BULL",34.45850533,-120.33349,1,1.6518550957819,1.74806661367027,7.00983005570844,0.989544376281318,6.32968420368933,3.27478667030713
"SBC","CARP",34.3916319,-119.5416933,1,35.6021912674678,1.08963851143495,7.94768449142165,1.08280213510948,10.8503149275221,8.96352397317729
"SBC","goleta_bay",34.4137165,-119.8221,1,2.05375595611681,0.967112994530935,5.29775652887243,1.05289246190063,9.94011938193449,8.37887170139279
"SBC","IVEE",34.402783,-119.85755,1,2.15010163298507,1.07089062100905,3.75791504500467,1.09394162813668,9.66122654982889,8.47880284779796
"SBC","MOHK",34.3940708,-119.72957,1,3.66627612076827,1.11349938404936,2.96548166686192,1.20411752193551,10.7173424238943,8.91438854022203
"SBC","NAPL",34.4221216,-119.95154,1,3.96044866210842,NA,NA,1.45880480872174,8.2977723059214,7.50837351155755
"SBC","santa_cruz_island_diablo",34.05865,-119.75763,1,1.19781628487641,0.893153118044855,5.46463123004893,0.990895941117025,8.8875092543735,1.09993481853345
"SBC","santa_cruz_island_twin_harbor_west",34.0444335,-119.71513,1,1.4275582548122,1.0088230251547,3.91359881014505,1.02546801838575,8.87634718645231,0.987469733312418
"SBC","SBC_mainland_coast_centroid",34.42474,-119.9158,1,5.55333921908917,1.1540276868444,4.60472325292879,1.81382699585044,8.62841461895723,7.47243444057495
"SBC","SBC_santa_cruz_island_sites_centroid",34.05154,-119.7364,1,1.47401253591934,0.945589177647746,5.0475781730062,1.05718484069506,9.6977162294465,1.03907698988842
"SBC",NA,34.2668067576407,-119.85,1,1.36528251251061,NA,NA,1.03572201897924,9.52456750381822,7.59900977807509
"SEV",NA,34.3198103136161,-106.812986408147,1,NA,1.01855032357755,2.5754856992013,NA,4.17382075931752,4.17610960239255
"SGS",NA,40.826791149303,-104.723981652827,1,NA,1.79919974290243,8.86835715282031,NA,3.70217001931782,3.72057355015627
"VCR",NA,37.4945285044286,-75.702256880578,1,1.16048218116692,0.648386320691058,8.10778170599371,4.2115227880702,0.181397414637912,0.0403126702615851
