"site","subsite","lat","lon","radius","chla_temporal_sd","lst_temporal_sd","ndvi_temporal_sd","sst_temporal_sd","bathymetry_spatial_sd_slope_60km","elevation_spatial_sd_slope_60km"
"FCRK","7103700",38.85471357,-104.8780314,1,NA,0.973254487972445,2.98844568739371,NA,4.54290900510874,4.56812719625745
"FCRK","7103707",38.82943667,-104.8396969,1,NA,1.0594274366841,2.88573913830094,NA,5.47131894409394,5.44818005987972
"FCRK","7103755",39.0875,-104.8791667,1,NA,1.24280985634103,3.52366118419816,NA,6.03789997600081,5.99237086997758
"FCRK","7103780",39.03102778,-104.8466111,1,NA,1.09096645027831,4.1886026953241,NA,6.03756651399103,5.9429656048905
"FCRK","7103800",38.97054766,-104.902758,1,NA,0.937217000483452,2.76673146517119,NA,3.84840957274247,3.63577014765635
"FCRK","7103960",38.97611111,-104.7986111,1,NA,1.17867366186698,3.14877674581289,NA,6.67804646821895,6.76344123729901
"FCRK","7103970",38.9338817,-104.8171992,1,NA,0.969759158290017,2.8515728658043,NA,6.3218386309055,6.32236723017505
"FCRK","7103977",38.95110464,-104.7135857,1,NA,1.14352357836482,4.67158197375469,NA,7.14759224005769,7.1587189877713
"FCRK","7103980",38.93943809,-104.7410863,1,NA,0.939566888280493,3.60291282103478,NA,7.04015746149412,7.144269752976
"FCRK","7103985",38.92916041,-104.7471974,1,NA,0.875837018112659,3.75149181350514,NA,7.23325124102859,7.22978630362279
"FCRK","7103990",38.92722222,-104.8141667,1,NA,0.986535426704174,2.54694971191342,NA,6.38799781185685,6.41024939557061
"FCRK","7104000",38.91777057,-104.8185877,1,NA,1.03732747035501,3.38540701368142,NA,6.32808722118089,6.3015746202111
"FCRK","7104050",38.91554824,-104.82581,1,NA,1.06212279426783,3.22436358193323,NA,6.13893788274641,6.08513174622497
"FCRK","7104905",38.83721474,-104.8294192,1,NA,1.00786263416617,1.93143135175631,NA,6.03082486081954,6.03125429075525
"FCRK","7105000",38.82249078,-104.8885861,1,NA,0.806389163181492,3.88612012925214,NA,3.36022725435088,3.19157188538996
"FCRK","7105500",38.81638158,-104.8227519,1,NA,0.919782531105147,2.52311062387277,NA,6.03535468605905,5.98831751894887
"FCRK","7105530",38.80304911,-104.7958069,1,NA,0.896820272945652,3.43327278687223,NA,6.76125351813972,6.75092322957721
"FCRK","7105800",38.7294404,-104.7338611,1,NA,1.40571050989815,5.32327876369421,NA,8.22996365084974,8.27820347040473
"FCRK","7105900",38.6844413,-104.688583,1,NA,1.27632105887991,5.67177973202169,NA,8.76469920803282,8.72904436000517
"FCRK","7106000",38.6016647,-104.6702503,1,NA,1.65534060704059,8.28219680263413,NA,8.63392297804156,8.65643883871779
"FCRK","7106200",38.50225,-104.6064444,1,NA,1.56280038202382,5.84808393470107,NA,7.11404728867414,7.0841025770899
"FCRK","7106300",38.42944444,-104.5980556,1,NA,1.56554661520516,8.14148474753981,NA,6.04428770925892,6.09320166923963
"FCRK","7106500",38.28778013,-104.6010849,1,NA,0.898453953054922,2.47503764812801,NA,5.70867764622614,5.67592136874976
"FCRK","7109500",38.24805799,-104.3991356,1,NA,1.3630303299672,6.68451528803382,NA,2.7840604214271,2.73843230194869
"FCRK","FCRK_centroid",38.80412,-104.8424,1,NA,1.02057508097591,3.09586616289697,NA,5.07330122174745,5.07133508737285
"GCE","1_1",31.5385467196262,-81.4223757009346,1,NA,0.806657291254857,2.77107479991863,NA,0.188227231268537,0.117070128574848
"GCE","1_2",31.539447,-81.42230375,1,NA,0.810306748902794,2.72952816419582,NA,0.187331217647162,0.115532458843306
"GCE","2_1",31.5359889252336,-81.2955178457944,1,NA,NA,5.54639572933661,2.17269065199507,0.212138392230919,0.0908138969527229
"GCE","2_2",31.53594975,-81.29574525,1,NA,NA,5.27237352331015,2.18733125593507,0.212263444754534,0.0909351061904811
"GCE","3_1",31.5185165,-81.2290735,1,NA,0.613710593015468,3.08742015914617,1.29752542393711,0.198915382894418,0.0368415621071558
"GCE","3_2",31.5191095,-81.22923375,1,NA,0.614113088435917,2.94497756187843,1.29752542393711,0.198116366958577,0.0360571516210601
"GCE","4_1",31.4514698878505,-81.3658683084112,1,NA,0.666658372243473,4.09061073383566,1.96119548683685,0.175501861720426,0.066536899144243
"GCE","4_2",31.4521786401869,-81.3657129579439,1,NA,0.669613862093402,4.02528825427623,1.97663705233482,0.172356290708165,0.0660059083534817
"GCE","5_1",31.4358903598131,-81.3402891378505,1,NA,NA,12.7185455862256,1.92533892054353,0.194866436839709,0.104113819095133
"GCE","5_2",31.435747,-81.34117775,1,NA,NA,12.675708695254,1.9353063964205,0.19514793948615,0.104012472707048
"GCE","6_1",31.3879825,-81.2798475,1,0.922454661605597,0.665488154089452,2.35704398476413,0.972654015690275,0.199123128226759,0.0886731678348198
"GCE","6_2",31.3879245,-81.2803355,1,0.922454661605597,0.692786548031572,2.35864702683683,0.972654015690275,0.199721080728173,0.0904628137948853
"GCE","7_1",31.3348154417476,-81.4786175412621,1,NA,0.650592295367393,1.60886762666348,5.19116289000881,0.150478928607827,0.0874498589629126
"GCE","7_2",31.3348277281553,-81.4783477257282,1,NA,0.649855278612119,1.61542867836854,5.19116289000881,0.149764714996513,0.0880505632231337
"GCE","8_1",31.3077707743468,-81.4156735534442,1,NA,0.601455250764995,3.50607754727304,1.9700231119853,0.203497879590632,0.113359077650853
"GCE","8_2",31.3087614719626,-81.4154282056075,1,NA,0.59978921437136,3.61757853716871,1.96532807086504,0.204363201490598,0.11337589451872
"GCE","9_1",31.3518910724299,-81.334203338785,1,NA,0.658863139840525,4.91420457613552,2.90919636638729,0.217607919343018,0.105618227817531
"GCE","9_2",31.35101025,-81.3331965,1,NA,0.660192763058049,4.99740128819173,2.9987868033927,0.217546180609171,0.105854881272883
"GCE","centroid",31.42932,-81.35127,1,NA,NA,10.1093712646464,1.94659756262166,0.197458474372496,0.103072150533721
"GCE",NA,31.4003741753517,-81.3506223457793,1,NA,NA,6.02120784461995,2.63548011466826,0.193912523834957,0.10454277555784
"Hays",NA,38.8,-99.3,1,NA,1.61971852949749,4.87621747905811,NA,0.903233305702647,0.899467484274169
"HBR",NA,43.9396341133597,-71.7509212425578,1,NA,1.05994721716782,0.780568941323311,NA,1.89709615720407,1.93234515663212
