radius,layer,mean,sd,min,max,site,subsite,lat,lon,area_ha
30,15,284.64045205479,1.4915849462598,281.03571428571,290.50482758621,NTL,crystal_bog,46.008,-89.606,0.6
30,16,285.39802126215,1.4589949432363,281.99476190476,290.23677419355,NTL,crystal_bog,46.008,-89.606,0.6
30,17,283.70403225338,1.5021579898355,280.26536585366,289.04965517241,NTL,crystal_bog,46.008,-89.606,0.6
40,1,285.49621537951,1.6600589782297,281.0087804878,292.44074074074,NTL,crystal_bog,46.008,-89.606,0.6
40,2,284.28102695256,1.2978886064991,280.61069767442,289.63862068966,NTL,crystal_bog,46.008,-89.606,0.6
40,3,283.70559242929,1.495334754552,280.11090909091,289.92413793103,NTL,crystal_bog,46.008,-89.606,0.6
40,4,283.72920855404,1.8078244026544,279.19377777778,290.23096774194,NTL,crystal_bog,46.008,-89.606,0.6
40,5,286.67636102369,2.0883560932873,280.88684210526,293.70444444444,NTL,crystal_bog,46.008,-89.606,0.6
40,6,285.95452980715,1.5180960000415,281.771,291.10258064516,NTL,crystal_bog,46.008,-89.606,0.6
40,7,285.81487412756,1.7603253792417,281.57476190476,292.33259259259,NTL,crystal_bog,46.008,-89.606,0.6
40,8,284.61042599838,2.2064579305601,279.22139534884,292.59333333333,NTL,crystal_bog,46.008,-89.606,0.6
40,9,283.54975572748,1.9341806400164,278.88727272727,289.90551724138,NTL,crystal_bog,46.008,-89.606,0.6
40,10,286.33952528453,1.5715029905948,281.99860465116,292.01548387097,NTL,crystal_bog,46.008,-89.606,0.6
40,11,284.31877294886,1.5935159500158,280.23772727273,291.4275862069,NTL,crystal_bog,46.008,-89.606,0.6
40,12,285.5693997358,1.2167558906033,281.60651162791,290.36064516129,NTL,crystal_bog,46.008,-89.606,0.6
40,13,283.05500449956,1.6939690756618,278.256,289.8328,NTL,crystal_bog,46.008,-89.606,0.6
40,14,283.97259393141,2.0561312905839,278.2755,291.205,NTL,crystal_bog,46.008,-89.606,0.6
40,15,284.70733256867,1.5203754847893,280.86363636364,290.69,NTL,crystal_bog,46.008,-89.606,0.6
40,16,285.34815959792,1.4469677850493,281.71727272727,291.204375,NTL,crystal_bog,46.008,-89.606,0.6
40,17,283.71318408078,1.5336888827047,280.13822222222,289.44,NTL,crystal_bog,46.008,-89.606,0.6
50,1,285.46194558167,1.6979831083813,281.0087804878,292.44074074074,NTL,crystal_bog,46.008,-89.606,0.6
50,2,284.33901190064,1.2893156272269,280.61069767442,289.63862068966,NTL,crystal_bog,46.008,-89.606,0.6
50,3,283.75222241081,1.4574685455585,280.11090909091,290.25916666667,NTL,crystal_bog,46.008,-89.606,0.6
50,4,283.8273212471,1.8029262259677,279.19377777778,291.08933333333,NTL,crystal_bog,46.008,-89.606,0.6
50,5,286.58150447361,2.0579852258906,280.69681818182,293.88551724138,NTL,crystal_bog,46.008,-89.606,0.6
50,6,285.97642530694,1.5538772145144,281.771,291.408,NTL,crystal_bog,46.008,-89.606,0.6
50,7,285.75285332837,1.7424455481529,281.57476190476,292.33259259259,NTL,crystal_bog,46.008,-89.606,0.6
50,8,284.61105743648,2.2174468257007,279.22139534884,292.59333333333,NTL,crystal_bog,46.008,-89.606,0.6
50,9,283.54100578714,1.8857807025763,278.78590909091,289.90551724138,NTL,crystal_bog,46.008,-89.606,0.6
50,10,286.37322216146,1.6004416277176,281.99860465116,292.56533333333,NTL,crystal_bog,46.008,-89.606,0.6
50,11,284.35147065815,1.6601896125188,280.23772727273,291.4275862069,NTL,crystal_bog,46.008,-89.606,0.6
50,12,285.81117477295,1.2906437122368,281.60651162791,292.38888888889,NTL,crystal_bog,46.008,-89.606,0.6
50,13,283.13117150044,1.7290814803842,278.256,289.8328,NTL,crystal_bog,46.008,-89.606,0.6
50,14,283.77440531281,2.0650599692224,278.2755,291.205,NTL,crystal_bog,46.008,-89.606,0.6
50,15,284.84811286249,1.6002506498027,280.49045454545,290.69,NTL,crystal_bog,46.008,-89.606,0.6
50,16,285.36132039102,1.4582550862473,281.71727272727,291.56482758621,NTL,crystal_bog,46.008,-89.606,0.6
50,17,283.8165651077,1.5632462391117,280.13822222222,290.40060606061,NTL,crystal_bog,46.008,-89.606,0.6
75,1,285.63449646419,1.6894069482329,279.82,292.44074074074,NTL,crystal_bog,46.008,-89.606,0.6
75,2,284.6133430038,1.3835072716108,275.82,294.879,NTL,crystal_bog,46.008,-89.606,0.6
75,3,284.1179589184,1.4999806954069,277.72,292.31925925926,NTL,crystal_bog,46.008,-89.606,0.6
75,4,284.22260151334,1.7491355452061,266.50571428571,291.22344827586,NTL,crystal_bog,46.008,-89.606,0.6
75,5,286.73650179481,1.9981270950181,274.12444444444,294.71461538462,NTL,crystal_bog,46.008,-89.606,0.6
75,6,286.23663649457,1.5983364226655,279.50588235294,293.92923076923,NTL,crystal_bog,46.008,-89.606,0.6
75,7,285.91244666565,1.7970832177871,272.16285714286,294.58615384615,NTL,crystal_bog,46.008,-89.606,0.6
75,8,284.81724183213,2.2059824591162,275.475,294.0024,NTL,crystal_bog,46.008,-89.606,0.6
75,9,283.94090410704,1.9344850587653,264.788,294.73052631579,NTL,crystal_bog,46.008,-89.606,0.6
75,10,286.5867276849,1.5786197713353,274.18666666667,292.66322580645,NTL,crystal_bog,46.008,-89.606,0.6
75,11,284.67092323004,1.734450099807,277.28888888889,292.47615384615,NTL,crystal_bog,46.008,-89.606,0.6
75,12,286.40381060308,1.3575679552885,274.07,292.38888888889,NTL,crystal_bog,46.008,-89.606,0.6
75,13,283.5624706479,1.878211187655,263.264,290.77230769231,NTL,crystal_bog,46.008,-89.606,0.6
75,14,283.73216863418,2.0885127509428,270.25384615385,291.28461538462,NTL,crystal_bog,46.008,-89.606,0.6
75,15,285.22723802599,1.7539018244284,266.40444444444,292.81933333333,NTL,crystal_bog,46.008,-89.606,0.6
75,16,285.76189533683,1.5796191038413,281.71727272727,294.27272727273,NTL,crystal_bog,46.008,-89.606,0.6
75,17,284.22039201523,1.6676157847318,272.51538461538,291.29133333333,NTL,crystal_bog,46.008,-89.606,0.6
100,1,285.62887282769,1.942327650611,273.055,292.55933333333,NTL,crystal_bog,46.008,-89.606,0.6
100,2,284.57084891674,1.6529959101948,273.72444444444,294.879,NTL,crystal_bog,46.008,-89.606,0.6
100,3,284.22898315445,1.7701544390682,270.96,293.51857142857,NTL,crystal_bog,46.008,-89.606,0.6
100,4,284.33067729374,1.943168957439,262.66,293.09517241379,NTL,crystal_bog,46.008,-89.606,0.6
